name_en,name_zh,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,mining_method,host_rock_type,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Duobaoshan,多宝山,CN,Heilongjiang,50.250,125.800,copper,"molybdenum;gold",POR_CUMO,10.0,0.47,Chinese classification,production,1950,Zijin Mining,open_pit,Granodiorite porphyry,Ordovician,Continental arc,"Largest porphyry Cu-Mo deposit in NE China. Paleozoic porphyry system in the Central Asian Orogenic Belt.","USGS; CGS reports; Zeng et al. (2014)",4,"porphyry;open-pit;china;ordovician;caob"
Tuwu-Yandong,土屋-延东,CN,Xinjiang,42.117,92.583,copper,"gold;molybdenum",POR_CUMO,10.0,0.50,Chinese classification,production,1990,Zijin Mining,open_pit,Granodiorite porphyry,Carboniferous,Island arc,"Major porphyry Cu deposit in the Eastern Tianshan belt. Carboniferous island arc setting.","CGS reports; Han et al. (2006)",4,"porphyry;open-pit;china;carboniferous;tianshan"
Xiongcun,雄村,CN,Tibet,29.600,89.333,copper,"gold;silver;zinc",POR_CUAU,8.0,0.45,Chinese classification,exploration,2000,,,Andesite porphyry,Jurassic,Island arc,"Porphyry Cu-Au deposit in the Gangdese metallogenic belt. Jurassic island arc mineralization.","CGS reports; Tang et al. (2010)",4,"porphyry;exploration;china;tibet;jurassic;gangdese"
Jiama,甲玛,CN,Tibet,29.700,91.700,copper,"gold;molybdenum;silver;lead;zinc",SKN_CALC,8.0,0.50,Chinese classification,production,1950,Zijin Mining,"open_pit;underground",Limestone and skarn,Miocene,Continental collision,"Giant skarn-porphyry Cu polymetallic deposit in the Gangdese belt. One of China's highest altitude mines (>5,000m).","CGS reports; Zheng et al. (2015)",5,"skarn;porphyry;open-pit;china;tibet;miocene;gangdese"
Chengmenshan,城门山,CN,Jiangxi,29.750,115.800,copper,"gold;molybdenum;silver",SKN_CALC,3.0,0.45,Chinese classification,production,1950,Jiangxi Copper,open_pit,Limestone and skarn,Jurassic,Continental arc,"Skarn-porphyry Cu deposit in the Middle-Lower Yangtze metallogenic belt.","CGS reports; Pan and Dong (1999)",4,"skarn;china;jurassic;yangtze"
Wunugetushan,乌奴格吐山,CN,Inner Mongolia,49.250,117.917,copper,molybdenum,POR_CUMO,3.0,0.45,Chinese classification,production,1970,China Gold,open_pit,Granodiorite porphyry,Jurassic,Continental arc,"Porphyry Cu-Mo deposit in the Great Xing'an Range. Part of the Mongol-Okhotsk metallogenic belt.","CGS reports; Chen et al. (2010)",3,"porphyry;china;inner-mongolia;jurassic"
Tongshankou,铜山口,CN,Hubei,29.883,114.900,copper,"molybdenum;gold",SKN_CALC,3.0,0.50,Chinese classification,production,1950,,open_pit,Limestone and granodiorite,Jurassic-Cretaceous,Continental arc,"Skarn-porphyry Cu-Mo deposit. Part of the Middle-Lower Yangtze River metallogenic belt.","USGS; CGS reports",3,"skarn;china;hubei;yangtze"
Baiyin,白银,CN,Gansu,36.550,104.150,copper,"zinc;lead;gold;silver",VMS_BM,2.0,1.00,Chinese classification,production,1950,Baiyin Nonferrous,open_pit,Felsic volcanic rocks,Ordovician,Back-arc basin,"Historic VMS Cu-Zn-Pb deposit. Type example of the Baiyin-Changba VMS belt in the Qilian orogen.","USGS; CGS reports",4,"vms;china;gansu;ordovician;historic"
Ashele,阿舍勒,CN,Xinjiang,48.083,86.583,copper,"zinc;gold;silver",VMS_BM,2.0,1.00,Chinese classification,production,1980,,underground,Felsic volcanic rocks,Devonian,Island arc,"VMS Cu-Zn deposit in the Altay orogenic belt. Devonian bimodal volcanic host.","CGS reports; Wan et al. (2010)",3,"vms;china;xinjiang;devonian;altay"
Dongguashan,冬瓜山,CN,Anhui,30.917,117.833,copper,"gold;sulfur;iron",SKN_CALC,3.0,0.90,Chinese classification,production,1960,Tongling Nonferrous,underground,Limestone and marble,Jurassic-Cretaceous,Continental arc,"Large stratabound skarn Cu-Au deposit in the Tongling district. Deep underground mining.","CGS reports; Chang et al. (1991)",4,"skarn;underground;china;anhui;yangtze"
Lala,拉拉,CN,Sichuan,26.500,102.000,copper,"cobalt;molybdenum;gold",IOCG_HEM,2.0,0.90,Chinese classification,production,1960,,underground,Schist and gneiss,Paleoproterozoic,Craton margin,"Proterozoic IOCG-style Cu-Co deposit in the Kangdian region. Metamorphosed stratabound mineralization.","CGS reports; Zhao et al. (2011)",3,"iocg;underground;china;sichuan;proterozoic"
Dahongshan,大红山,CN,Yunnan,24.000,102.000,copper,"iron;gold;silver",IOCG_MAG,2.0,0.80,Chinese classification,production,1950,,underground,Schist and gneiss,Paleoproterozoic,Craton margin,"Proterozoic Fe-Cu deposit in the Kangdian IOCG province. Magnetite-rich.",CGS reports,3,"iocg;underground;china;yunnan;proterozoic"
