name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Cukaru Peki,RS,Bor District,44.083,22.100,copper,"gold;silver",EPI_HS,5.0,2.00,JORC,development,2012,Zijin Mining,Cretaceous,Continental arc,"World-class high-sulfidation epithermal Cu-Au deposit. Upper zone extremely high grade >5% Cu.",Zijin Mining JORC,5,"epithermal;development;giant;serbia;cretaceous;high-sulfidation;high-grade"
Dumitru Potok,RS,Bor District,44.083,22.100,copper,"gold;silver",POR_CUAU,3.0,0.35,development,2000,Zijin Mining,Cretaceous,Continental arc,"Porphyry Cu-Au deposit near Bor. Part of Zijin's Timok expansion.",Zijin reports,3,"porphyry;development;serbia"
Kremice,RS,Bor District,44.367,21.933,copper,gold,POR_CUAU,2.0,0.40,exploration,2005,Zijin Mining,Cretaceous,Continental arc,"Porphyry Cu-Au prospect near Majdanpek.",Zijin reports,3,"porphyry;exploration;serbia"
Ada Tepe,BG,Kardzhali,41.500,25.500,copper,"gold;silver",EPI_LS,2.0,0.50,production,2000,Dundee Precious Metals,Oligocene,Continental collision,"Epithermal Au-Ag-Cu deposit. Open pit mine in the Eastern Rhodopes.",Dundee Precious Metals JORC,4,"epithermal;open-pit;bulgaria;oligocene"
Medet,BG,Sofia,42.500,24.100,copper,"molybdenum;gold",POR_CUMO,2.0,0.30,historical,closed,1958,,Cretaceous,Continental arc,"Historic porphyry Cu-Mo deposit. Part of the Assarel-Medet complex. Now reclaimed.",USGS MRDS,3,"porphyry;historic;bulgaria;cretaceous;closed"
Tsar Asen,BG,Pazardzhik,42.500,24.200,copper,"gold;silver",POR_CUAU,2.0,0.35,exploration,1990,,Cretaceous,Continental arc,"Porphyry Cu-Au prospect in the Panagyurishte ore district.",USGS MRDS,3,"porphyry;exploration;bulgaria"
Murgul,TR,Artvin,41.250,41.583,copper,"zinc;gold",VMS_BM,3.0,1.00,production,1950,Eti Bakir,Cretaceous,Island arc,"VMS Cu-Zn deposit in the Eastern Pontides. Major Turkish copper producer since 1950s.",Eti Bakir reports,4,"vms;open-pit;turkey;cretaceous"
Cerattepe,TR,Artvin,41.200,41.667,copper,"gold;silver;zinc",VMS_BM,2.0,2.00,development,1990,Eti Bakir,Cretaceous,Island arc,"High-grade VMS Cu-Au deposit. Underground development project.",Eti Bakir reports,3,"vms;development;turkey;high-grade"
Cakmakkaya,TR,Artvin,41.250,41.583,copper,"gold;molybdenum",POR_CUAU,3.0,0.35,production,2000,Dogu Biga,Eocene,Continental arc,"Porphyry Cu-Au-Mo deposit. Part of the Artvin mining district.",USGS MRDS,3,"porphyry;production;turkey"
Bakırtepe,TR,Sivas,39.500,37.000,copper,"gold;silver",VMS_BM,2.0,1.50,production,2000,,Cretaceous,Island arc,"VMS Cu-Au deposit in the Central Pontides.",USGS MRDS,3,"vms;production;turkey;cretaceous"
