name_en,name_zh,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,status,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Baiyinchang,,CN,Gansu,36.550,104.150,copper,"zinc;lead",VMS_BM,2.0,1.00,production,,Ordovician,Back-arc basin,"VMS Cu-Zn-Pb deposit in the Qilian orogen. Major historical producer.",CGS reports,4,"vms;china;gansu;ordovician"
Saishitang,,CN,Qinghai,35.500,101.500,copper,"gold;silver",SKN_CALC,2.0,0.70,production,,Triassic,Continental collision,"Skarn Cu-Au deposit in the East Kunlun belt.",CGS reports,3,"skarn;china;qinghai;triassic"
Yinshan,,CN,Jiangxi,28.750,117.500,copper,"lead;zinc;silver",VMS_BM,2.0,0.50,production,,Jurassic,Continental arc,"VMS Pb-Zn-Cu deposit in the Dexing district.",CGS reports,3,"vms;china;jiangxi;jurassic"
Dongchuan,,CN,Yunnan,26.000,103.000,copper,silver,SED_SSC,3.0,1.00,production,,Proterozoic,Craton margin,"Proterozoic sediment-hosted Cu deposit. Historic Dongchuan copper district.",CGS reports,4,"sediment-hosted;china;yunnan;proterozoic;historic"
Huogeqi,,CN,Inner Mongolia,41.500,107.000,copper,"zinc;lead",SED_SSC,2.0,1.00,production,,Proterozoic,Craton margin,"Sediment-hosted Cu-Pb-Zn deposit in the Langshan belt.",CGS reports,3,"sediment-hosted;china;inner-mongolia;proterozoic"
Sepon,LA,Savannakhet,16.800,106.000,copper,gold,POR_CUAU,3.0,0.40,production,Lane Xang Minerals,Carboniferous-Permian,Island arc,"Porphyry-related Cu-Au deposit. Previously gold-focused with copper development.",Lane Xang reports,4,"porphyry;production;laos;carboniferous"
Pangku,LA,Xaisomboun,18.867,102.683,copper,gold,POR_CUAU,2.0,0.40,exploration,,Triassic,Island arc,"Porphyry Cu-Au prospect near Phu Kham.",USGS MRDS,3,"porphyry;exploration;laos"
Yandera,PG,Madang,-5.500,145.000,copper,"gold;molybdenum",POR_CUMO,5.0,0.35,exploration,Era Resources,Miocene,Island arc,"Porphyry Cu-Mo deposit in the PNG highlands.",USGS MRDS; Era Resources,3,"porphyry;exploration;png;miocene"
Wafi-Golpu,PG,Morobe,-6.500,146.500,copper,gold,POR_CUAU,10.0,0.60,JORC,development,Newcrest/Harmony,Pliocene,Island arc,"Giant porphyry Cu-Au deposit. One of the world's largest undeveloped Cu-Au projects.",Newcrest/Harmony JORC,5,"porphyry;development;giant;png;pliocene"
Namosi,PG,Naitasiri,-18.000,178.000,copper,"gold;molybdenum",POR_CUAU,8.0,0.35,JORC,exploration,Newcrest,Miocene,Island arc,"Porphyry Cu-Au deposit in Fiji. Waisoi and Wainabama deposits.",Newcrest JORC,4,"porphyry;exploration;png;miocene"
Copper Canyon,US,Arizona,33.033,-110.833,copper,molybdenum,POR_CUMO,3.0,0.30,exploration,,Laramide,Continental arc,"Porphyry Cu-Mo prospect. Historic drilling.",USGS MRDS,3,"porphyry;exploration;arizona;laramide"
Pyhasalmi,FI,North Ostrobothnia,63.667,25.983,copper,"zinc;pyrite",VMS_BM,3.0,1.00,production,First Quantum Minerals,Proterozoic,Craton margin,"VMS Cu-Zn-pyrite deposit. Europe's deepest base metal mine at 1.4km depth.",First Quantum reports,5,"vms;underground;finland;proterozoic;deep"
Kiruna,SE,Norrbotten,67.850,20.217,copper,"iron;gold",IOCG_MAG,3.0,0.30,production,Luossavaara-Kiirunavaara AB,Proterozoic,Craton margin,"World's largest iron mine with significant copper-gold credits. IOCG-style mineralization.",LKAB reports,5,"iocg;underground;sweden;proterozoic;iron-copper"
La Caridad Vieja,MX,Sonora,30.317,-109.567,copper,molybdenum,POR_CUMO,3.0,0.30,historical,closed,,Laramide,Continental arc,"Historic porphyry Cu-Mo deposit. Adjacent to La Caridad mine.",USGS MRDS,3,"porphyry;historic;mexico;closed"
Copper Queen,US,Arizona,31.433,-109.900,copper,"silver;gold",POR_CUMO,3.0,0.50,historical,closed,,Laramide,Continental arc,"Historic porphyry Cu deposit in the Warren (Bisbee) district. World-famous mineral specimens.",USGS MRDS,5,"porphyry;historic;arizona;laramide;bisbee;closed"
Bisbee (Lavender Pit),US,Arizona,31.433,-109.900,copper,"gold;silver",POR_CUMO,3.0,0.45,historical,closed,,Laramide,Continental arc,"Historic porphyry Cu deposit. Bisbee district's Lavender Pit and underground mines. Produced 1880-1975.",USGS MRDS,5,"porphyry;historic;arizona;laramide;closed"
NuevaUnion,CL,Atacama,-28.500,-69.500,copper,"gold;molybdenum",POR_CUAU,10.0,0.35,NI43-101,exploration,Teck/Newmont,Miocene,Continental arc,"Merged Relincho and El Morro projects. One of the world's largest undeveloped Cu-Au-Mo resources.",Teck/Newmont NI 43-101,5,"porphyry;exploration;giant;chile;miocene"
Santo Domingo,CL,Atacama,-26.500,-70.500,copper,"gold;iron",IOCG_MAG,5.0,0.40,NI43-101,development,Capstone Copper,Cretaceous,Back-arc basin,"IOCG-style Fe-Cu-Au deposit. Magnetite-rich with copper credits.",Capstone Copper NI 43-101,4,"iocg;development;chile;cretaceous"
Tocopilla,CL,Antofagasta,-22.000,-70.000,copper,"silver;gold",IOCG_HEM,2.0,0.50,exploration,,Jurassic,Back-arc basin,"IOCG-style Cu prospect in the Coastal Cordillera.",USGS MRDS,3,"iocg;exploration;chile;jurassic"
Pampa Norte,CL,Antofagasta,-23.600,-70.400,copper,silver,IOCG_HEM,3.0,0.45,historical,closed,,Cretaceous,Back-arc basin,"IOCG-style Cu deposit. Past-producing oxides.",USGS MRDS,3,"iocg;historic;chile;cretaceous;closed"
