name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Meiduk,IR,Kerman,30.500,55.000,copper,molybdenum,POR_CUMO,5.0,0.70,JORC,production,NICICO,Miocene,Continental arc,"Porphyry Cu-Mo deposit in the Kerman belt. Open pit operation.",NICICO reports,4,"porphyry;open-pit;iran;miocene"
Darreh Zar,IR,Kerman,29.500,56.500,copper,molybdenum,POR_CUMO,3.0,0.50,exploration,NICICO,Miocene,Continental arc,"Porphyry Cu-Mo deposit in the Kerman belt.",NICICO reports,3,"porphyry;exploration;iran;miocene"
Dalli,IR,Markazi,34.500,50.000,copper,"gold;silver",POR_CUAU,2.0,0.40,exploration,,Miocene,Continental arc,"Porphyry Cu-Au prospect.",USGS MRDS,3,"porphyry;exploration;iran"
Saindak,PK,Balochistan,29.000,62.000,copper,"gold;molybdenum;silver",POR_CUAU,5.0,0.35,development,MRDC,Miocene,Continental collision,"Porphyry Cu-Au deposit in the Chagai arc. Chinese-operated development project.",USGS MRDS; MRDC reports,4,"porphyry;development;pakistan;chagai"
Chambishi,ZM,Copperbelt,-12.667,28.000,copper,cobalt,SED_SSC,5.0,2.00,NI43-101,production,CNMC,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co deposit in the Zambian Copperbelt.",CNMC reports,4,"sediment-hosted;underground;zambia;copperbelt;cobalt"
Chibuluma,ZM,Copperbelt,-13.000,28.000,copper,cobalt,SED_SSC,5.0,2.00,NI43-101,production,Metorex,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co deposit. Underground mining since 1950s.",USGS MRDS; Metorex,4,"sediment-hosted;underground;zambia;copperbelt"
Luanshya,ZM,Copperbelt,-13.133,28.383,copper,cobalt,SED_SSC,5.0,1.50,NI43-101,production,CNMC,Neoproterozoic,Intracratonic rift,"Historic Cu-Co mine. Includes Baluba and Muliashi deposits.",USGS MRDS; CNMC,4,"sediment-hosted;underground;zambia;copperbelt;historic"
Nkana,ZM,Copperbelt,-12.833,28.200,copper,cobalt,SED_SSC,8.0,1.50,NI43-101,production,Mopani Copper Mines,Neoproterozoic,Intracratonic rift,"Large Cu-Co deposit. Part of the Kitwe-Nkana mining complex.",USGS MRDS; Mopani,4,"sediment-hosted;underground;zambia;copperbelt;giant"
Kinsevere,CD,Haut-Katanga,-11.500,27.500,copper,cobalt,SED_SSC,3.0,2.00,NI43-101,production,MMG,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co deposit in the DRC Copperbelt.",MMG reports,4,"sediment-hosted;open-pit;drc;copperbelt;cobalt"
Ruashi,CD,Haut-Katanga,-11.617,27.550,copper,cobalt,SED_SSC,3.0,2.50,NI43-101,production,Jinchuan Group,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co deposit. Tailings reprocessing and open pit.",USGS MRDS,4,"sediment-hosted;open-pit;drc;copperbelt;high-grade"
Etoile,CD,Haut-Katanga,-11.667,27.583,copper,cobalt,SED_SSC,2.0,2.00,NI43-101,production,Chemaf,Neoproterozoic,Intracratonic rift,"Small sediment-hosted Cu-Co deposit in the Lubumbashi area.",USGS MRDS,3,"sediment-hosted;open-pit;drc;copperbelt"
Palabora,ZA,Limpopo,-23.983,31.133,copper,"magnetite;vermiculite;zirconium",CARBONATITE,5.0,0.55,JORC,production,Palabora Mining,Archean,Craton margin,"Unique carbonatite-hosted Cu deposit. South Africa's largest copper mine. Open pit and block cave.",Palabora Mining JORC,5,"carbonatite;open-pit;block-caving;south-africa;archean;giant"
Okiep,ZA,Northern Cape,-29.600,17.900,copper,"silver;gold",IOCG_HEM,3.0,1.50,historical,closed,,Proterozoic,Craton margin,"Historic Cu district. IOCG-style mineralization. Mined since 1850s. Now closed.",USGS MRDS,4,"iocg;historic;south-africa;proterozoic;closed"
Haib,NA,Karas,-28.583,17.600,copper,"molybdenum;gold",POR_CUMO,5.0,0.35,NI43-101,exploration,Arc Minerals,Proterozoic,Craton margin,"Paleoproterozoic porphyry Cu deposit. One of the oldest porphyry systems on Earth.",Arc Minerals NI 43-101,4,"porphyry;exploration;namibia;proterozoic"
Tsumeb,NA,Oshikoto,-19.233,17.717,copper,"lead;zinc;germanium",VMS_BM,3.0,4.00,historical,closed,,Proterozoic,Craton margin,"World-famous polymetallic Cu-Pb-Zn deposit. Renowned for exceptional mineral specimens.",USGS MRDS,5,"vms;historic;namibia;proterozoic;high-grade;closed"
Khoemacau,BW,North-West,-19.500,22.500,copper,silver,SED_SSC,5.0,1.50,JORC,production,Khoemacau Copper Mining,Proterozoic,Craton margin,"Sediment-hosted Cu-Ag deposit in the Kalahari Copperbelt. Zone 5 underground mine.",Khoemacau JORC,5,"sediment-hosted;underground;botswana;proterozoic"
Mowana,BW,North-East,-21.000,27.500,copper,silver,SED_SSC,2.0,1.00,JORC,production,,Proterozoic,Craton margin,"Sediment-hosted Cu deposit. Open pit operation in the Kalahari Copperbelt.",USGS MRDS,3,"sediment-hosted;open-pit;botswana;proterozoic"
Boss Mining,CD,Haut-Katanga,-11.500,27.500,copper,cobalt,SED_SSC,3.0,2.00,NI43-101,production,ERG,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co deposit. Includes Luita and Mukondo Mountain.",ERG reports,3,"sediment-hosted;open-pit;drc;copperbelt;cobalt"
