name_en,name_zh,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,mining_method,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Baiyinchang,白银厂,CN,Gansu,36.550,104.150,copper,"zinc;lead;gold;silver",VMS_BM,2.0,1.00,Chinese classification,production,1950,Baiyin Nonferrous,open_pit,Ordovician,Back-arc basin,"Historic VMS Cu-Zn-Pb-Ag deposit in the Qilian orogen. Major producer since 1950s. Type example of Baiyin VMS belt.",CGS reports,4,"vms;china;gansu;ordovician;historic"
Hongtoushan,红透山,CN,Liaoning,41.800,124.000,copper,"zinc;gold;silver",VMS_BM,2.0,1.50,Chinese classification,production,1950,CNMC,underground,Archean,Craton margin,"Archean VMS Cu-Zn deposit. One of China's oldest and deepest base metal mines (>1.3km).",CGS reports,4,"vms;underground;china;archean;deep"
Tongling,铜陵,CN,Anhui,30.917,117.833,copper,"gold;sulfur;iron",SKN_CALC,5.0,0.80,Chinese classification,production,1950,Tongling Nonferrous,underground,Jurassic-Cretaceous,Continental arc,"Major skarn Cu-Au district. Multiple deposits: Dongguashan, Shizishan, Xinqiao. One of China's largest Cu producers.",CGS reports,5,"skarn;underground;china;anhui;yangtze;giant"
Shizishan,狮子山,CN,Anhui,30.917,117.917,copper,"gold;silver",SKN_CALC,3.0,0.90,Chinese classification,production,1960,Tongling Nonferrous,underground,Jurassic-Cretaceous,Continental arc,"Layered skarn Cu-Au deposit in the Tongling district. High-grade stratabound ore.",CGS reports,4,"skarn;underground;china;anhui;yangtze"
Yulong II,玉龙II,CN,Tibet,31.400,97.717,copper,"molybdenum;gold;silver",POR_CUMO,5.0,0.50,Chinese classification,exploration,2000,,,Eocene,Continental collision,"Satellite porphyry Cu deposit in the Yulong belt. Part of the largest porphyry cluster in eastern Tibet.",CGS reports,3,"porphyry;exploration;china;tibet;eocene"
Duocaima,多彩玛,CN,Qinghai,35.500,93.500,copper,"molybdenum;lead;zinc",POR_CUMO,3.0,0.40,Chinese classification,exploration,2000,,,Triassic,Continental collision,"Porphyry Cu-Mo deposit in the East Kunlun belt.",CGS reports,3,"porphyry;exploration;china;qinghai;triassic"
Dongguashan,冬瓜山,CN,Anhui,30.917,117.833,copper,"gold;silver;iron",SKN_CALC,3.0,0.90,Chinese classification,production,1960,Tongling Nonferrous,underground,Jurassic-Cretaceous,Continental arc,"Large stratabound skarn Cu-Au deposit. Deep underground mine (>1km). Tongling's largest deposit.",CGS reports,4,"skarn;underground;china;anhui;yangtze;deep"
Xinqiao,新桥,CN,Anhui,30.917,117.750,copper,"gold;sulfur;iron",SKN_CALC,2.0,0.70,Chinese classification,production,1960,Tongling Nonferrous,open_pit,Jurassic-Cretaceous,Continental arc,"Stratabound skarn Cu-Au-S-Fe deposit. Open pit and underground.",CGS reports,3,"skarn;open-pit;china;anhui;yangtze"
Tonglushan,铜绿山,CN,Hubei,29.983,114.917,copper,"gold;iron",SKN_CALC,3.0,0.90,Chinese classification,production,1960,Hubei Daye Nonferrous,open_pit,Jurassic-Cretaceous,Continental arc,"Skarn Cu-Fe-Au deposit in the Daye district. Ancient mining site with >3000 year history.",CGS reports,4,"skarn;open-pit;china;hubei;yangtze;historic"
Daye,大冶,CN,Hubei,30.000,114.917,copper,"iron;gold;cobalt",SKN_CALC,3.0,0.80,Chinese classification,production,1960,Hubei Daye,underground,Jurassic-Cretaceous,Continental arc,"Skarn Fe-Cu-Co-Au district. One of China's most important Fe-Cu mining centers.",CGS reports,4,"skarn;china;hubei;yangtze"
Jinchuan,金川,CN,Gansu,38.500,102.200,copper,"nickel;platinum;palladium;cobalt",MAG,5.0,0.40,Chinese classification,production,1958,Jinchuan Group,underground,Proterozoic,Craton margin,"World-class magmatic Ni-Cu-PGE deposit. China's largest nickel and PGM producer. Significant copper.",CGS; Naldrett (2010),5,"magmatic;underground;giant;china;gansu;proterozoic;nickel"
Longshoushan,龙首山,CN,Gansu,38.500,102.000,copper,"nickel;platinum",MAG,2.0,0.35,Chinese classification,exploration,1980,,,Proterozoic,Craton margin,"Magmatic Ni-Cu prospect in the Longshou Mountains near Jinchuan.",CGS reports,3,"magmatic;exploration;china;proterozoic"
Taershan,塔尔山,CN,Qinghai,36.500,96.000,copper,"gold;silver",SKN_CALC,2.0,0.70,Chinese classification,exploration,1990,,,Triassic,Continental collision,"Skarn Cu-Au prospect in the East Kunlun belt.",CGS reports,3,"skarn;exploration;china;qinghai"
Xiaotieshan,小铁山,CN,Gansu,36.550,104.150,copper,"lead;zinc;gold;silver",VMS_BF,2.0,1.00,Chinese classification,production,1950,Baiyin Nonferrous,underground,Ordovician,Back-arc basin,"VMS Cu-Pb-Zn deposit. Part of the Baiyin ore field.",CGS reports,3,"vms;underground;china;gansu;ordovician"
Dabaoshan,大宝山,CN,Guangdong,24.500,113.667,copper,"iron;molybdenum;tungsten;lead;zinc",SKN_CALC,2.0,0.70,Chinese classification,production,1950,,open_pit,Jurassic,Continental arc,"Large polymetallic skarn Fe-Cu-Mo-W deposit. Multi-metal open pit.",CGS reports,4,"skarn;open-pit;china;guangdong;jurassic;polymetallic"
Tongguanshan,铜官山,CN,Anhui,30.917,117.800,copper,"gold;sulfur",SKN_CALC,2.0,0.80,Chinese classification,historical,closed,1950,,underground,Jurassic-Cretaceous,Continental arc,"Historic skarn Cu deposit in Tongling. One of China's oldest copper mines.",CGS reports,3,"skarn;historic;china;anhui;closed"
Wushan,武山,CN,Jiangxi,29.750,115.750,copper,"molybdenum;gold",SKN_CALC,3.0,0.50,Chinese classification,production,1950,Jiangxi Copper,underground,Jurassic,Continental arc,"Skarn-porphyry Cu-Mo deposit in the Jiujiang-Ruichang district.",CGS reports,4,"skarn;underground;china;jiangxi;jurassic"
Fujiawu,富家坞,CN,Jiangxi,28.750,117.500,copper,"molybdenum;gold;silver",POR_CUMO,3.0,0.40,Chinese classification,production,1950,Jiangxi Copper,open_pit,Jurassic,Continental arc,"Porphyry Cu-Mo deposit. Part of the Dexing porphyry cluster.",CGS reports,4,"porphyry;open-pit;china;jiangxi;jurassic;dexing"
Tongchang,铜厂,CN,Jiangxi,28.750,117.500,copper,"molybdenum;gold",POR_CUMO,2.0,0.35,Chinese classification,production,1950,Jiangxi Copper,open_pit,Jurassic,Continental arc,"Porphyry Cu-Mo deposit. Small open pit in the Dexing cluster.",CGS reports,3,"porphyry;open-pit;china;jiangxi;jurassic"
Malan,马兰,CN,Shanxi,35.267,111.600,copper,"gold;silver",SED_SSC,2.0,0.70,Chinese classification,exploration,1990,,,Proterozoic,Craton margin,"Sediment-hosted Cu-Au prospect in the Zhongtiao Mountains.",CGS reports,3,"sediment-hosted;exploration;china;shanxi;proterozoic"
